date,ticker,avg_sentiment,tweet_count
09/04/2020,KO,0.0,1
09/04/2020,MSFT,0.36819999999999997,2
09/04/2020,NFLX,-0.014249999999999985,2
09/04/2020,PFE,0.0,1
09/04/2020,TSLA,-0.21028000000000002,5
09/05/2020,DIS,0.32985,2
09/05/2020,MSFT,0.5719,1
09/05/2020,V,0.6652,1
09/06/2020,AAPL,0.0,1
09/06/2020,AMZN,0.7783,1
09/06/2020,BA,0.11365714285714283,7
09/06/2020,CCL,-0.36413333333333336,3
09/06/2020,FB,0.0,1
09/06/2020,MSFT,0.0,1
09/06/2020,TSLA,0.15473333333333333,9
09/06/2020,WMT,0.0,1
09/07/2020,AAPL,0.3107666666666667,3
09/07/2020,AMZN,0.17113333333333333,3
09/07/2020,BA,-0.25,1
09/07/2020,BABA,0.27763333333333334,3
09/07/2020,CCL,0.5106,1
09/07/2020,DIS,-0.07655,2
09/07/2020,FB,0.5106,1
09/07/2020,MSFT,0.0,1
09/07/2020,NVDA,0.0,1
09/07/2020,TSLA,0.045899999999999996,24
09/07/2020,V,0.4404,1
09/08/2020,AAPL,0.48324999999999996,2
09/09/2020,AAPL,0.23774375,16
09/09/2020,BA,0.0,1
09/09/2020,CCL,0.0,1
09/09/2020,MCD,0.0,1
09/09/2020,NFLX,-0.0772,1
09/09/2020,NVDA,-0.25,1
09/09/2020,TSLA,0.10710000000000001,49
09/10/2020,AAPL,0.021574999999999993,4
09/10/2020,BA,0.0,4
09/10/2020,MSFT,0.7906,1
09/10/2020,NVDA,0.0,1
09/10/2020,PFE,0.5984,1
09/10/2020,TSLA,0.02614545454545455,11
09/11/2020,AAPL,-0.09271111111111112,9
09/11/2020,AMZN,0.1806,2
09/11/2020,BA,-0.2787,2
09/11/2020,BABA,0.3182,1
09/11/2020,CCL,0.7717,1
09/11/2020,PFE,0.2732,1
09/12/2020,AAPL,-0.023619999999999995,5
09/12/2020,ABNB,-0.4404,1
09/12/2020,AMZN,-0.42772499999999997,4
09/12/2020,BA,-0.7778,1
09/12/2020,BABA,-0.4215,1
09/12/2020,CCL,0.15746666666666667,3
09/12/2020,DIS,0.3572,2
09/12/2020,FB,-0.15711999999999998,5
09/12/2020,PFE,0.05595333333333333,15
09/12/2020,TSLA,0.12455121951219512,41
10/01/2020,AAPL,0.426825,4
10/01/2020,AMZN,0.0387,1
10/01/2020,BA,0.07253333333333332,6
10/01/2020,BABA,0.148,2
10/01/2020,DIS,0.0,1
10/01/2020,NFLX,0.5719,1
10/01/2020,NVDA,0.6369,1
10/01/2020,TSLA,0.22135,14
10/02/2020,AAPL,-0.2986,3
10/02/2020,AMZN,0.6176,1
10/02/2020,BA,0.0,1
10/02/2020,MSFT,0.0772,1
10/02/2020,NVDA,0.7269,1
10/02/2020,TSLA,0.317,3
10/02/2020,TSM,0.4588,1
10/03/2020,AAPL,-0.12801428571428572,7
10/03/2020,AMZN,-0.17681666666666665,6
10/03/2020,BA,0.0,1
10/03/2020,BABA,-0.22319999999999998,3
10/03/2020,BAC,0.296,1
10/03/2020,CCL,-0.27275,8
10/03/2020,DIS,0.17841666666666667,6
10/03/2020,GOOG,-0.6108,1
10/03/2020,MSFT,0.4215,1
10/03/2020,TSLA,0.16841818181818183,11
10/03/2020,V,0.44094999999999995,2
10/04/2020,BA,0.6369,1
10/06/2020,AAPL,0.3182,1
10/06/2020,AMZN,0.5719,1
10/06/2020,BA,0.30456666666666665,6
10/06/2020,BRK.B,0.2755,1
10/06/2020,CCL,0.1468,3
10/06/2020,JPM,-0.5994,1
10/06/2020,MSFT,0.1468,3
10/06/2020,TSLA,0.1782090909090909,11
10/06/2020,XOM,0.0,1
10/07/2020,AMZN,0.0,3
10/07/2020,BA,0.12795,4
10/07/2020,BABA,-0.3182,1
10/07/2020,CCL,-0.2732,1
10/07/2020,DIS,0.4215,1
10/07/2020,FB,0.5719,1
10/07/2020,HD,0.4404,1
10/07/2020,JPM,-0.296,1
10/07/2020,NFLX,0.29664999999999997,2
10/07/2020,TSLA,0.10814000000000001,20
10/07/2020,TSM,0.0,1
10/07/2020,WMT,-0.4215,1
10/08/2020,AAPL,0.045641666666666664,12
10/08/2020,TSLA,0.0,1
10/09/2020,AAPL,0.0994421052631579,19
10/09/2020,AMZN,0.0,1
10/09/2020,BA,0.8253,2
10/09/2020,BABA,0.0,1
10/09/2020,DIS,0.2202,2
10/09/2020,HD,0.6249,1
10/09/2020,MSFT,0.6597,1
10/09/2020,TSLA,0.11499523809523811,42
10/09/2020,WMT,0.17026666666666665,3
10/09/2020,XOM,-0.0772,1
10/10/2020,AAPL,0.5267,1
10/10/2020,AMZN,-0.4404,1
10/10/2020,MSFT,-0.128,1
10/10/2020,TSLA,0.28265,2
10/11/2020,AAPL,-0.11875555555555556,9
10/11/2020,AMZN,0.13549999999999998,3
10/11/2020,BA,-0.0999,6
10/11/2020,BABA,0.4404,1
10/11/2020,BAC,0.0,1
10/11/2020,CCL,0.0,1
10/11/2020,CVX,-0.5719,1
10/11/2020,HD,0.0,1
10/11/2020,MSFT,-0.2732,1
10/11/2020,PFE,0.0756142857142857,7
10/11/2020,SBUX,0.431,1
10/11/2020,TSLA,-0.05366000000000002,5
10/12/2020,ABNB,0.1319,12
10/12/2020,AMZN,-0.05393999999999999,5
10/12/2020,BA,-0.17020000000000002,3
10/12/2020,BAC,0.1591,2
10/12/2020,CCL,-0.07983333333333333,3
10/12/2020,DIS,0.6486,2
10/12/2020,FB,0.06004999999999999,6
10/12/2020,HD,-0.0015,1
10/12/2020,NVDA,0.5859,1
10/12/2020,PFE,-0.15104285714285717,7
10/12/2020,TSLA,0.14722857142857143,28
11/01/2020,AAPL,0.0,1
11/01/2020,BA,0.3612,1
11/02/2020,AAPL,-0.3182,1
11/02/2020,AMZN,0.47550000000000003,2
11/02/2020,BA,-0.41905,2
11/02/2020,DIS,0.40080000000000005,2
11/02/2020,FB,-0.068875,4
11/02/2020,MCD,0.3612,1
11/02/2020,MSFT,0.243975,4
11/02/2020,NVDA,0.7184,1
11/02/2020,TSLA,-0.012200000000000003,8
11/02/2020,TSM,0.3612,1
11/03/2020,AAPL,0.041220000000000014,5
11/03/2020,AMZN,0.29286666666666666,3
11/03/2020,BA,0.05047142857142858,7
11/03/2020,BABA,0.6908,1
11/03/2020,BAC,-0.2023,1
11/03/2020,FB,-0.0772,1
11/03/2020,MSFT,0.79835,2
11/03/2020,NFLX,-0.15036666666666668,3
11/03/2020,TSLA,0.1554388888888889,18
11/03/2020,V,-0.34876666666666667,3
11/03/2020,WMT,0.0,1
11/03/2020,XOM,-0.1508,2
11/05/2020,AAPL,0.0,1
11/05/2020,BA,-0.4588,1
11/05/2020,TSLA,-0.14248333333333332,6
11/05/2020,WMT,0.0,1
11/06/2020,AAPL,-0.08475,2
11/06/2020,AMZN,0.7573,1
11/06/2020,BA,0.19036818181818183,22
11/06/2020,BABA,0.637975,4
11/06/2020,BAC,-0.7579,1
11/06/2020,CCL,0.035150000000000015,4
11/06/2020,DIS,-0.5822499999999999,2
11/06/2020,FB,0.17,2
11/06/2020,HD,0.29675,2
11/06/2020,JPM,0.4607,2
11/06/2020,NFLX,0.0,1
11/06/2020,SBUX,0.2997,2
11/06/2020,TSLA,0.08449999999999999,9
11/06/2020,WMT,0.7645,1
11/06/2020,XOM,0.4005,1
11/07/2020,AAPL,0.34,1
11/07/2020,BA,-0.5574,1
11/07/2020,KO,-0.4767,1
11/07/2020,TSLA,0.13996,5
11/07/2020,V,0.5719,1
11/08/2020,AAPL,0.07523333333333333,6
11/08/2020,AMZN,-0.07414999999999997,2
11/08/2020,BA,0.7161,1
11/08/2020,DIS,-0.10115,2
11/08/2020,FB,-0.3182,1
11/08/2020,JPM,0.44394999999999996,2
11/08/2020,NFLX,0.2212,1
11/08/2020,PFE,-0.6908,1
11/08/2020,PYPL,0.5859,1
11/08/2020,TSLA,0.04604285714285715,14
11/08/2020,WMT,0.5267,1
11/09/2020,AAPL,0.00802608695652174,23
11/09/2020,AMZN,-0.3506666666666667,3
11/09/2020,DIS,-0.1531,1
11/09/2020,FB,-0.8481,1
11/09/2020,HD,0.0516,1
11/09/2020,MSFT,-0.5719,1
11/09/2020,NFLX,0.1909,2
11/09/2020,TSLA,0.27690714285714285,28
11/10/2020,AAPL,0.0,2
11/11/2020,AAPL,0.05588888888888889,9
11/11/2020,AMZN,0.296,1
11/11/2020,BA,-0.47785,2
11/11/2020,BABA,0.20763333333333334,3
11/11/2020,CCL,0.04194,5
11/11/2020,FB,-0.1027,1
11/11/2020,MCD,0.2553,2
11/11/2020,MSFT,0.0,1
11/11/2020,NFLX,-0.3182,1
11/11/2020,NVDA,0.0,1
11/11/2020,TSLA,-0.10606666666666666,3
11/12/2020,AAPL,-0.3535,1
11/12/2020,ABNB,-0.09721666666666666,6
11/12/2020,AMZN,0.0,1
11/12/2020,CCL,-0.02465000000000002,4
11/12/2020,DIS,-0.07067500000000002,8
11/12/2020,FB,0.0258,1
11/12/2020,HD,0.2263,1
11/12/2020,MSFT,0.5106,1
11/12/2020,PFE,-0.0478875,8
11/12/2020,TSLA,0.1573,17
12/01/2020,AAPL,0.21075,2
12/02/2020,AAPL,0.3461666666666667,3
12/02/2020,AMZN,0.0,1
12/02/2020,BA,-0.3818,1
12/02/2020,BABA,0.28590000000000004,2
12/02/2020,DIS,-0.5423,1
12/02/2020,FB,0.7003,1
12/02/2020,TSLA,0.029181250000000002,16
12/03/2020,AAPL,0.12011428571428572,7
12/03/2020,AMZN,-0.04933333333333333,6
12/03/2020,BA,0.2256,8
12/03/2020,CCL,0.26583,10
12/03/2020,DIS,0.009324999999999995,12
12/03/2020,GOOG,0.0,1
12/03/2020,HD,0.0516,1
12/03/2020,NFLX,0.0,1
12/03/2020,TSLA,-0.07682666666666667,30
12/05/2020,AAPL,-0.0032250000000000056,4
12/05/2020,BA,0.1365,4
12/05/2020,BABA,0.3295666666666666,3
12/05/2020,BAC,0.0,1
12/05/2020,DIS,0.025450000000000018,6
12/05/2020,FB,0.4915,1
12/05/2020,JNJ,0.0,1
12/05/2020,JPM,-0.25,1
12/05/2020,MCD,0.7446,1
12/05/2020,MSFT,0.0757,1
12/05/2020,TSLA,0.17556363636363637,11
12/05/2020,WMT,0.2023,1
12/06/2020,AAPL,-0.015950000000000002,6
12/06/2020,AMZN,-0.1695,1
12/06/2020,BA,-0.050693749999999996,16
12/06/2020,SBUX,0.24080000000000001,3
12/06/2020,TSLA,0.12912173913043476,23
12/06/2020,WMT,-0.2202,2
12/08/2020,AAPL,0.32985,2
12/08/2020,AMZN,0.4215,1
12/08/2020,BA,0.0705375,8
12/08/2020,BAC,-0.3182,1
12/08/2020,CCL,0.5106,1
12/08/2020,JPM,0.0,1
12/08/2020,MSFT,0.0,1
12/08/2020,TSLA,0.048615000000000005,20
12/09/2020,AAPL,-0.24695,2
12/09/2020,NFLX,-0.3875,1
12/09/2020,TSLA,0.26153333333333334,6
12/09/2020,XOM,0.3847,1
12/10/2020,AAPL,0.24435500000000002,20
12/10/2020,AMZN,0.1027,1
12/10/2020,TSLA,-0.4406666666666667,3
12/11/2020,AAPL,0.23152,5
12/11/2020,BA,0.424775,8
12/11/2020,BABA,0.2553,2
12/11/2020,BAC,0.6369,1
12/11/2020,BKNG,0.1761,1
12/11/2020,CCL,-0.039775000000000005,4
12/11/2020,DIS,0.0930125,8
12/11/2020,FB,0.8316,1
12/11/2020,NVDA,0.26255,2
12/11/2020,TSLA,0.38135,6
12/11/2020,WMT,-0.1511,1
12/12/2020,ABNB,0.36415000000000003,4
12/12/2020,DIS,0.7351,1
12/12/2020,PFE,0.07433333333333335,3
12/12/2020,TSLA,0.24695,2
13/01/2020,AAPL,0.02695,4
13/01/2020,BABA,0.836,1
13/01/2020,BAC,-0.4767,1
13/01/2020,TSLA,-0.02706666666666666,9
13/01/2020,TSM,-0.4215,1
13/02/2020,BA,0.3048,2
13/02/2020,BABA,0.12055,2
13/02/2020,MSFT,-0.15836,5
13/02/2020,NFLX,0.0,1
13/02/2020,NVDA,0.5178,1
13/02/2020,SBUX,0.6948,1
13/02/2020,TSLA,0.10945555555555554,45
13/03/2020,AAPL,-0.009528571428571426,7
13/03/2020,AMZN,-0.09738,5
13/03/2020,BA,0.16885,2
13/03/2020,BABA,-0.14700000000000002,2
13/03/2020,CCL,-0.06291428571428571,7
13/03/2020,DIS,0.12427391304347825,23
13/03/2020,GOOG,-0.4019,1
13/03/2020,HD,-0.03620000000000001,2
13/03/2020,JPM,-0.3412,1
13/03/2020,MCD,0.0,1
13/03/2020,MSFT,0.148,2
13/03/2020,NVDA,0.3612,1
13/03/2020,SBUX,0.5719,1
13/03/2020,TSLA,0.132135,20
13/04/2020,AAPL,0.21075,2
13/04/2020,AMZN,0.3612,1
13/04/2020,DIS,0.0,1
13/04/2020,NFLX,0.4215,1
13/04/2020,TSLA,-0.056100000000000004,5
13/05/2020,AAPL,0.29377142857142857,7
13/05/2020,BA,0.30272,5
13/05/2020,BABA,0.0,1
13/05/2020,CCL,0.0,1
13/05/2020,DIS,-0.07955,4
13/05/2020,FB,-0.1366,2
13/05/2020,KO,0.5095,1
13/05/2020,LOW,-0.6249,1
13/05/2020,MCD,0.3182,1
13/05/2020,MSFT,0.0,1
13/05/2020,NFLX,0.25,1
13/05/2020,NKE,0.0,1
13/05/2020,TSLA,0.1132,15
13/05/2020,WMT,0.0903,1
13/05/2020,XOM,0.0772,1
13/06/2020,AMZN,0.0258,1
13/06/2020,BA,0.0,1
13/06/2020,TSLA,0.17188,5
13/07/2020,AAPL,0.3024,2
13/07/2020,DIS,-0.0163,1
13/07/2020,MSFT,0.0,1
13/07/2020,TSLA,0.07883076923076923,26
13/08/2020,AAPL,0.10219,20
13/08/2020,BA,-0.148,2
13/08/2020,GOOG,0.0,1
13/08/2020,JNJ,0.0,1
13/08/2020,TSLA,0.16085925925925929,27
13/08/2020,WMT,-0.1779,1
13/09/2020,AAPL,0.4404,1
13/10/2020,AAPL,0.13737777777777777,36
13/10/2020,AMZN,-0.013566666666666652,3
13/10/2020,CCL,0.0,1
13/10/2020,DIS,-0.3252,1
13/10/2020,FB,0.5859,1
13/10/2020,JNJ,0.21075,2
13/10/2020,JPM,0.67935,2
13/10/2020,NFLX,-0.4215,1
13/10/2020,TSLA,0.17571666666666666,6
13/10/2020,WMT,-0.2732,1
13/11/2020,AMZN,0.0,1
13/11/2020,BA,0.184325,4
13/11/2020,BABA,0.106,4
13/11/2020,BAC,0.5994,1
13/11/2020,CCL,0.148,2
13/11/2020,DIS,-0.1612,4
13/11/2020,FB,0.0,1
13/11/2020,MSFT,-0.3645,2
13/11/2020,NVDA,0.08333333333333333,3
13/11/2020,PFE,0.5326500000000001,2
13/11/2020,TSLA,-0.13724999999999998,4
13/11/2020,WMT,-0.15499999999999997,5
14/01/2020,AAPL,0.27295,4
14/01/2020,AMZN,0.4404,1
14/01/2020,BA,0.14303333333333332,3
14/01/2020,BABA,0.21075,2
14/01/2020,DIS,-0.4058999999999999,3
14/01/2020,TSLA,0.10547857142857142,14
14/01/2020,TSM,0.8908,1
14/01/2020,UNH,0.0,1
14/01/2020,XOM,0.0,1
14/02/2020,AAPL,0.44,2
14/02/2020,AMZN,-0.1909,2
14/02/2020,CCL,-0.7073,1
14/02/2020,DIS,0.39225,2
14/02/2020,FB,0.5106,1
14/02/2020,MSFT,0.0,1
14/02/2020,NFLX,-0.2023,1
14/02/2020,NVDA,0.0,1
14/02/2020,TSLA,0.1438,9
14/02/2020,WMT,0.0,1
14/03/2020,AAPL,0.07543333333333334,3
14/03/2020,BA,0.3818,1
14/03/2020,DIS,0.17713333333333334,3
14/03/2020,TSLA,0.3313,3
14/03/2020,V,0.2477,1
14/04/2020,AAPL,0.30555,2
14/04/2020,AMZN,0.4201,2
14/04/2020,BA,-0.005583333333333329,6
14/04/2020,BAC,-0.38355,2
14/04/2020,CCL,0.09432499999999998,4
14/04/2020,DIS,0.0,1
14/04/2020,FB,0.5106,1
14/04/2020,JPM,0.034425000000000004,4
14/04/2020,MSFT,0.4404,1
14/04/2020,NFLX,-0.07655,2
14/04/2020,TSLA,0.16327,10
14/05/2020,AAPL,0.15938000000000002,5
14/05/2020,BA,0.10932,5
14/05/2020,CCL,-0.1027,1
14/05/2020,DIS,-0.20625000000000002,6
14/05/2020,FB,0.875,1
14/05/2020,JPM,0.25,1
14/05/2020,MCD,0.7999,1
14/05/2020,MSFT,0.3182,1
14/05/2020,NVDA,-0.3645,2
14/05/2020,TSLA,-0.025800000000000003,12
14/05/2020,XOM,-0.25,1
14/07/2020,AAPL,-0.1406,1
14/07/2020,AMZN,-0.1198333333333333,3
14/07/2020,BA,0.0,2
14/07/2020,BABA,0.5859,1
14/07/2020,BRK.B,0.2944,1
14/07/2020,DIS,0.2553,2
14/07/2020,JPM,0.18490000000000004,2
14/07/2020,MSFT,0.0,2
14/07/2020,NFLX,0.0,1
14/07/2020,PFE,0.3182,1
14/07/2020,SBUX,-0.6908,1
14/07/2020,TSLA,0.17150666666666667,30
14/07/2020,WMT,0.5574,1
14/08/2020,AAPL,0.271875,8
14/08/2020,AMZN,0.0,1
14/08/2020,BA,0.0,1
14/08/2020,BABA,0.17,2
14/08/2020,HD,0.3291,1
14/08/2020,MSFT,0.6369,1
14/08/2020,NFLX,-0.0572,1
14/08/2020,PFE,-0.2263,1
14/08/2020,TSLA,0.2189823529411765,17
14/08/2020,WMT,0.6908,1
14/09/2020,AAPL,0.28749375,16
14/09/2020,DIS,-0.1027,1
14/09/2020,TSLA,0.10522000000000001,15
14/09/2020,WMT,0.3931,2
14/10/2020,AAPL,0.14292307692307693,13
14/10/2020,AMZN,0.73565,2
14/10/2020,BABA,0.25943333333333335,3
14/10/2020,BAC,-0.7003,1
14/10/2020,DIS,0.0,1
14/10/2020,JNJ,0.0,1
14/10/2020,TSLA,0.11774666666666667,15
14/11/2020,NVDA,0.3597,1
14/12/2020,AAPL,-0.12916666666666668,3
14/12/2020,ABNB,-0.159475,8
14/12/2020,BABA,0.4215,1
14/12/2020,PFE,-0.06472,5
14/12/2020,PYPL,0.0,1
14/12/2020,TSLA,0.0,4
15/01/2020,AAPL,0.2705285714285714,7
15/01/2020,BA,0.0,1
15/01/2020,BAC,0.0,1
15/01/2020,DIS,-0.1531,1
15/01/2020,SBUX,0.5106,1
15/01/2020,TSLA,0.05854615384615385,13
15/02/2020,WMT,0.3804,1
15/03/2020,AAPL,0.022266666666666674,3
15/04/2020,AAPL,0.5423,1
15/04/2020,AMZN,0.0,1
15/04/2020,BA,0.09751111111111112,9
15/04/2020,BAC,0.2909428571428571,7
15/04/2020,CCL,0.4939,1
15/04/2020,GOOGL,0.5267,1
15/04/2020,JPM,0.0,1
15/04/2020,NFLX,0.6908,1
15/04/2020,TSLA,0.12277500000000001,8
15/05/2020,AAPL,-0.0172,3
15/05/2020,BA,0.06275,2
15/05/2020,BABA,0.0,1
15/05/2020,CCL,0.0,1
15/05/2020,DIS,0.034275,4
15/05/2020,FB,0.0,1
15/05/2020,PYPL,0.7783,1
15/05/2020,TSLA,0.576775,4
15/06/2020,AAPL,0.4404,1
15/06/2020,BA,0.3922666666666667,3
15/06/2020,BAC,0.5859,1
15/06/2020,CCL,0.4588,1
15/07/2020,AAPL,0.378575,4
15/07/2020,AMZN,0.2263,1
15/07/2020,BA,0.02202857142857143,7
15/07/2020,BABA,0.0,1
15/07/2020,CCL,-0.16160000000000002,3
15/07/2020,JNJ,0.4215,1
15/07/2020,JPM,0.8271,1
15/07/2020,PFE,0.4019,1
15/07/2020,TSLA,0.17065454545454548,11
15/07/2020,WMT,-0.4939,1
15/08/2020,AAPL,0.42955,2
15/08/2020,TSLA,0.04113333333333335,6
15/09/2020,AAPL,0.058811999999999996,25
15/09/2020,AMZN,0.24695,2
15/09/2020,BA,-0.04783333333333334,3
15/09/2020,BAC,0.0,1
15/09/2020,CCL,-0.6124,1
15/09/2020,FB,0.0,1
15/09/2020,NFLX,-0.27115,2
15/09/2020,PFE,0.6411,1
15/09/2020,TSLA,0.1682793103448276,58
15/09/2020,WMT,0.401,2
15/09/2020,XOM,0.13396666666666665,3
15/10/2020,AAPL,0.103475,12
15/10/2020,AMZN,0.128,1
15/10/2020,BA,0.47550000000000003,2
15/10/2020,DIS,0.0,1
15/10/2020,FB,0.0,1
15/10/2020,JNJ,0.0,1
15/10/2020,MSFT,0.0,1
15/10/2020,NVDA,0.7003,1
15/10/2020,TSLA,0.07921666666666667,6
15/11/2020,AAPL,0.0,3
15/12/2020,AAPL,0.22030000000000002,6
15/12/2020,ABNB,0.010320000000000001,5
15/12/2020,AMZN,0.3612,1
15/12/2020,BA,-0.5574,1
15/12/2020,BABA,0.0,1
15/12/2020,DIS,-0.4215,1
15/12/2020,FB,0.0,1
15/12/2020,MCD,0.0,1
15/12/2020,MSFT,0.4215,1
15/12/2020,PFE,-0.016374999999999987,8
15/12/2020,PYPL,0.4588,1
15/12/2020,TSLA,-0.1089,12
16/01/2020,AAPL,-0.11315,2
16/01/2020,AMZN,0.0,1
16/01/2020,BA,0.1027,1
16/01/2020,DIS,0.6369,1
16/01/2020,MSFT,0.0,1
16/01/2020,TSLA,0.004421052631578951,19
16/01/2020,V,-0.2263,1
16/03/2020,AAPL,-0.15415714285714285,14
16/03/2020,BA,0.28555,2
16/03/2020,DIS,0.11596666666666668,3
16/03/2020,MSFT,0.8176,1
16/03/2020,NKE,0.4939,1
16/03/2020,TSLA,0.1677375,8
16/04/2020,AAPL,0.09545,4
16/04/2020,AMZN,0.5683,3
16/04/2020,BA,-0.1267,6
16/04/2020,BAC,-0.3466,3
16/04/2020,CCL,0.34,1
16/04/2020,DIS,-0.7783,1
16/04/2020,MSFT,0.2732,1
16/04/2020,NFLX,0.4088,2
16/04/2020,NKE,0.0,1
16/04/2020,SBUX,-0.4939,1
16/04/2020,TSLA,0.1299076923076923,13
16/04/2020,V,0.0,1
16/04/2020,WMT,-0.5574,1
16/05/2020,AAPL,-0.1027,1
16/05/2020,BA,-0.10115,2
16/05/2020,CCL,0.0,1
16/05/2020,NVDA,0.0,1
16/05/2020,TSLA,0.0,1
16/06/2020,AMZN,0.1468,3
16/06/2020,BA,0.2891230769230769,13
16/06/2020,CCL,0.24220000000000003,2
16/06/2020,MSFT,0.0,1
16/06/2020,PYPL,0.0,1
16/06/2020,TSLA,0.10864999999999998,6
16/06/2020,UPS,0.7579,1
